Date,Open,High,Low,Close
1/2/18,13338.41,15249.97,12851,14740.09
1/1/18,13820.26,13824.23,12800,13338.41
12/31/17,12675.68,14191.2,12511,13820.26
12/30/17,14574.99,14607.77,12481.44,12675.68
12/29/17,14488.61,15115.1,13949.5,14574.99
12/28/17,15418.95,15499.99,13514.81,14488.61
12/27/17,15830.86,16500,14521,15418.95
12/26/17,13986.68,16150,13921,15830.86
12/25/17,14100.01,14698.99,13317,13986.68
12/24/17,15002.72,15500,12600,14100.01
12/23/17,14000,15894,13701,15002.72
12/22/17,15797.49,15947.97,10611,14000
12/21/17,16596.09,17375.2,15044.7,15797.49
12/20/17,17640.01,17881.37,15600,16596.09
12/19/17,18981.88,19050,16750,17640.01
12/18/17,19260.5,19315.01,18125.45,18981.88
12/17/17,19499.99,19999,18870,19260.5
12/16/17,17744.5,19739,17713.87,19499.99
12/15/17,16678.79,17920,16655.12,17744.5
12/14/17,16460.9,17150,16135.18,16678.79
12/13/17,17382.19,17582.15,15902,16460.9
12/12/17,16800.19,17613,16347.71,17382.19
12/11/17,15268.98,17488,15223.1,16800.19
12/10/17,15041,16120,13141.5,15268.98
12/9/17,16250,16500.98,14899.99,15041
12/8/17,17050,17712.65,14000,16250
12/7/17,13725.53,17050,13400.01,17050
12/6/17,11711.2,13924.98,11711.19,13725.53
12/5/17,11668.84,11900,11489.92,11711.2
12/4/17,11231.21,11681,10850,11668.84
12/3/17,10888.01,11870,10500.17,11231.21
12/2/17,10910.18,11200,10700,10888.01
12/1/17,9934.4,10970,9360.01,10910.18
11/30/17,9827.29,10900,8975,9934.4
11/29/17,9941.7,11454,9500,9827.29
11/28/17,9763.44,9987,9649,9941.7
11/27/17,9304.19,9769.47,9300,9763.44
11/26/17,8779.62,9475,8732.66,9304.19
11/25/17,8209.88,8788.5,8152.01,8779.62
11/24/17,8009.88,8340.02,7900,8209.88
11/23/17,8240.82,8279.45,8009.88,8009.88
11/22/17,8120.36,8304.98,8100,8240.82
11/21/17,8246.01,8360.01,7790,8120.36
11/20/17,8046.98,8314.95,7920,8246.01
11/19/17,7776.54,8099,7668.06,8046.98
